City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
79,Hualmay,PE,-11.0964,-77.6139,68.11,68,8,12.15,clear sky
80,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,13.8,broken clouds
81,Sovetskaya Gavan,RU,48.9723,140.2878,58.12,96,29,4.54,scattered clouds
82,Goiatuba,BR,-18.0125,-49.3547,84.56,22,17,7.65,few clouds
83,Roald,NO,62.5833,6.1333,65.16,94,75,14.97,light rain
84,Bredasdorp,ZA,-34.5322,20.0403,49.35,88,0,7.47,clear sky
85,Chokurdakh,RU,70.6333,147.9167,55.2,57,97,5.82,overcast clouds
86,La Ronge,CA,55.1001,-105.2842,70.02,52,75,9.22,broken clouds
87,Pangnirtung,CA,66.1451,-65.7125,44.6,93,75,6.91,broken clouds
88,Auki,SB,-8.7676,160.7034,76.55,88,12,4.03,few clouds
89,Iqaluit,CA,63.7506,-68.5145,49.73,81,75,11.5,broken clouds
90,Vancouver,CA,49.2497,-123.1193,78.98,73,40,11.5,scattered clouds
91,Hobyo,SO,5.3505,48.5268,75.99,83,25,25.5,scattered clouds
92,Cayenne,GF,4.9333,-52.3333,85.08,13,97,4.0,overcast clouds
93,Mbaiki,CF,3.8678,17.9892,72.39,92,58,2.06,broken clouds
94,Khatanga,RU,71.9667,102.5,67.84,57,99,14.0,overcast clouds
95,Vargashi,RU,55.3556,65.8467,65.23,78,79,5.61,broken clouds
96,Camacha,PT,33.0833,-16.3333,78.22,54,20,12.66,few clouds
97,Nanortalik,GL,60.1432,-45.2371,47.84,78,100,5.77,overcast clouds
98,Tavricheskoye,RU,54.5851,73.6395,57.11,80,15,3.56,few clouds
99,North Bend,US,43.4065,-124.2243,68.16,88,0,14.97,clear sky
100,Qaanaaq,GL,77.484,-69.3632,38.79,94,100,1.57,overcast clouds
101,Oranjemund,NA,-28.55,16.4333,63.73,41,0,5.99,clear sky
102,Tsabong,BW,-26.0217,22.401,58.98,22,84,10.11,broken clouds
103,Neiafu,TO,-18.65,-173.9833,74.08,73,40,6.91,scattered clouds
104,Torbay,CA,47.6666,-52.7314,85.87,49,40,13.8,scattered clouds
105,Sabla,NG,12.7525,4.7077,85.73,54,67,7.43,broken clouds
106,Zhicheng,CN,30.2956,111.5047,77.7,94,69,1.92,broken clouds
107,Hammerfest,NO,70.6634,23.6821,50.45,81,20,3.44,few clouds
108,East London,ZA,-33.0153,27.9116,54.54,87,0,10.36,clear sky
109,Toora-Khem,RU,52.4675,96.11,49.51,86,4,1.63,clear sky
110,Port Lincoln,AU,-34.7333,135.8667,55.83,85,97,22.35,overcast clouds
111,Ancud,CL,-41.8697,-73.8203,48.22,91,100,4.65,overcast clouds
112,Vardo,NO,70.3705,31.1107,51.78,82,20,10.36,few clouds
113,Chinchani,IN,19.8667,72.7,79.59,87,100,14.92,overcast clouds
114,Gewane,ET,10.1664,40.6453,85.35,46,26,11.74,light rain
115,Smithers,CA,54.7804,-127.1743,59.32,77,100,5.75,light rain
116,Cabo San Lucas,MX,22.8909,-109.9124,91.62,75,20,6.91,few clouds
117,Thompson,CA,55.7435,-97.8558,69.96,40,75,10.36,broken clouds
118,Grand Gaube,MU,-20.0064,57.6608,68.4,69,0,14.34,clear sky
119,Mufumbwe,ZM,-13.6833,24.8,60.13,38,0,3.87,clear sky
120,Lagoa,PT,39.05,-27.9833,74.07,88,0,10.94,clear sky
121,Jizan,SA,17.3333,42.6667,86.94,58,99,1.28,heavy intensity rain
122,Airai,TL,-8.9266,125.4092,53.46,76,37,1.99,scattered clouds
123,Upernavik,GL,72.7868,-56.1549,41.38,96,100,6.06,overcast clouds
124,Kiomboi,TZ,-4.2667,34.3667,68.83,39,63,8.79,broken clouds
125,Nikolskoye,RU,59.7035,30.7861,66.09,92,100,3.85,overcast clouds
126,Vostok,RU,46.4856,135.8833,58.01,96,99,1.99,overcast clouds
127,Kyzyl-Mazhalyk,RU,51.1333,90.6,54.43,85,80,0.49,broken clouds
128,Abalak,RU,58.1286,68.5944,57.07,76,100,5.55,overcast clouds
129,Geraldton,AU,-28.7667,114.6,46.81,93,22,12.66,few clouds
130,Bandar-E Anzali,IR,37.4727,49.4622,73.51,76,80,6.04,light rain
131,Hamilton,US,39.1834,-84.5333,90.88,64,40,14.97,scattered clouds
132,Marsaxlokk,MT,35.8419,14.5431,83.01,69,0,11.5,clear sky
133,Kumluca,TR,36.3703,30.2869,85.62,33,0,8.16,clear sky
134,Beled,HU,47.4659,17.0929,78.93,33,0,6.98,clear sky
135,Tornio,FI,65.8481,24.1466,64.42,67,22,5.77,few clouds
136,Korla,CN,41.7597,86.1469,88.54,22,99,23.06,overcast clouds
137,Avarua,CK,-21.2078,-159.775,68.05,52,40,5.75,scattered clouds
138,Ligayan,PH,4.6533,119.4706,83.95,75,100,11.72,overcast clouds
139,Rawson,AR,-43.3002,-65.1023,44.06,71,100,12.37,overcast clouds
140,Touros,BR,-5.1989,-35.4608,79.16,77,99,19.89,overcast clouds
141,Victoria,HK,22.2855,114.1577,89.19,83,3,5.99,clear sky
142,Necochea,AR,-38.5473,-58.7368,48.67,88,100,9.78,overcast clouds
143,Utrecht,NL,52.0,5.25,86.07,55,95,3.0,overcast clouds
144,Kamaishi,JP,39.2667,141.8833,70.59,91,60,3.0,broken clouds
145,Akyab,MM,20.15,92.9,80.33,83,100,4.61,overcast clouds
146,Lerwick,GB,60.1545,-1.1494,55.4,89,100,11.14,overcast clouds
147,Roebourne,AU,-20.7833,117.1333,65.35,46,0,12.86,clear sky
148,Saint-Philippe,RE,-21.3585,55.7679,68.22,79,43,10.76,scattered clouds
149,Kapaa,US,22.0752,-159.319,80.58,73,40,13.8,scattered clouds
150,Otterup,DK,55.5153,10.3976,66.22,76,100,8.01,overcast clouds
151,Ajdabiya,LY,30.7554,20.2263,81.12,68,0,20.74,clear sky
152,Merauke,ID,-8.4667,140.3333,75.96,88,87,12.91,overcast clouds
153,Nikolsk,RU,53.7189,46.0712,64.31,81,9,4.72,clear sky
154,Dubrovnik,HR,42.6481,18.0922,82.04,61,0,3.44,clear sky
155,Veraval,IN,20.9,70.3667,80.73,86,93,17.76,overcast clouds
156,Huicungo,PE,-7.2833,-76.8,89.85,46,48,3.29,scattered clouds
157,Faanui,PF,-16.4833,-151.75,78.51,76,2,12.01,light rain
158,Walvis Bay,NA,-22.9575,14.5053,54.09,93,25,4.61,scattered clouds
159,Acapulco,MX,16.8634,-99.8901,87.62,66,40,6.91,scattered clouds
160,Albany,US,42.6001,-73.9662,98.17,38,33,1.01,scattered clouds
161,Mizdah,LY,31.4451,12.9801,83.43,22,0,7.49,clear sky
162,Elbrus,RU,43.2577,42.6443,51.08,95,98,2.82,overcast clouds
163,Punta Cardon,VE,11.6581,-70.215,85.69,60,2,19.82,clear sky
164,Viedma,AR,-40.8135,-62.9967,48.45,69,100,13.38,moderate rain
165,Verkhnevilyuysk,RU,63.4453,120.3167,61.47,77,56,6.76,broken clouds
166,Langsa,ID,4.4683,97.9683,74.19,98,100,1.72,overcast clouds
167,Ikom,NG,5.9667,8.7063,74.07,95,100,1.95,light rain
168,Kawalu,ID,-7.3817,108.2082,69.26,93,99,2.15,overcast clouds
169,Aksarka,RU,66.5606,67.7975,50.77,78,74,12.21,broken clouds
170,Castro,BR,-24.7911,-50.0119,74.14,46,93,3.69,overcast clouds
171,Bure,ET,10.7,37.0667,55.83,99,98,0.47,overcast clouds
172,Saint George,US,37.1041,-113.5841,94.42,39,75,5.75,broken clouds
173,Kalulushi,ZM,-12.8378,28.0919,63.81,41,35,4.85,scattered clouds
174,Huarmey,PE,-10.0681,-78.1522,69.78,70,7,11.65,clear sky
175,Waipawa,NZ,-41.4122,175.5153,45.09,87,100,10.78,overcast clouds
176,Coihaique,CL,-45.5752,-72.0662,36.21,75,100,4.61,light shower snow
177,Costa Rica,BR,-23.4167,-54.65,84.0,33,76,7.94,broken clouds
178,El Limon,VE,10.3059,-67.6321,87.12,53,80,3.8,broken clouds
179,Kismayo,SO,-0.3582,42.5454,75.58,82,86,18.75,overcast clouds
180,Chuy,UY,-33.6971,-53.4616,64.83,90,21,3.6,few clouds
181,Santa Rosa,PH,14.3122,121.1114,84.18,82,100,4.47,overcast clouds
182,La Asuncion,VE,11.0333,-63.8628,87.53,62,6,18.41,clear sky
183,Hasaki,JP,35.7333,140.8333,75.6,86,50,13.27,scattered clouds
