City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Muli,MV,2.9167,73.5667,82.49,71,100,13.22,overcast clouds
80,Phonhong,LA,18.5007,102.4166,75.42,95,84,2.1,broken clouds
81,Ostrovnoy,RU,68.0531,39.5131,49.82,92,100,3.65,light rain
82,Mar Del Plata,AR,-38.0023,-57.5575,54.55,92,99,5.37,overcast clouds
83,Djougou,BJ,9.7085,1.666,69.39,97,100,4.32,overcast clouds
84,Ixtapa,MX,20.7,-105.2,83.57,79,32,4.47,scattered clouds
85,Saraiu,RO,44.7167,28.15,68.86,68,4,5.7,clear sky
86,Nueva Guinea,NI,11.6876,-84.4562,74.59,94,98,8.97,overcast clouds
87,Avarua,CK,-21.2078,-159.775,75.25,64,40,9.22,scattered clouds
88,Bubaque,GW,11.2833,-15.8333,80.33,81,100,13.73,overcast clouds
89,Charters Towers,AU,-20.1,146.2667,66.36,62,0,9.44,clear sky
90,Cape Town,ZA,-33.9258,18.4232,55.38,73,0,8.05,clear sky
91,Boddam,GB,57.4667,-1.7833,61.18,95,100,18.95,moderate rain
92,Sarny,UA,51.338,26.6019,62.37,83,74,6.87,light rain
93,Nampula,MZ,-15.1165,39.2666,59.94,96,5,1.61,clear sky
94,Iqaluit,CA,63.7506,-68.5145,42.57,92,91,5.48,overcast clouds
95,New Norfolk,AU,-42.7826,147.0587,51.71,90,99,1.95,overcast clouds
96,Klaksvik,FO,62.2266,-6.589,50.7,92,98,20.47,overcast clouds
97,Bonavista,CA,48.6499,-53.1147,65.16,90,45,5.14,scattered clouds
98,Butembo,CD,0.15,29.2833,56.39,92,18,1.72,few clouds
99,Geraldton,AU,-28.7667,114.6,48.61,87,75,6.91,broken clouds
100,Kodiak,US,57.79,-152.4072,50.2,97,100,16.58,moderate rain
101,Perth,AU,-31.9333,115.8333,49.03,98,40,6.91,light rain
102,Hambantota,LK,6.1241,81.1185,78.93,79,100,18.95,overcast clouds
103,Asfi,MA,32.2994,-9.2372,75.16,77,88,9.75,overcast clouds
104,Mahibadhoo,MV,3.7833,72.9667,82.09,75,90,12.57,overcast clouds
105,Nouadhibou,MR,20.931,-17.0347,75.18,83,0,6.91,clear sky
106,Husavik,IS,66.0449,-17.3389,47.44,88,100,2.35,overcast clouds
107,Torit,SS,4.4133,32.5678,69.64,92,91,2.93,light rain
108,Penzance,GB,50.1186,-5.5371,64.83,92,68,22.68,broken clouds
109,Trincomalee,LK,8.5711,81.2335,78.69,83,99,19.13,overcast clouds
110,Cherskiy,RU,68.75,161.3,61.72,41,17,3.6,few clouds
111,Pineville,US,31.3224,-92.4343,80.31,75,48,12.62,scattered clouds
112,Poum,NC,-20.2333,164.0167,74.88,75,72,9.71,broken clouds
113,Nikolskoye,RU,59.7035,30.7861,66.09,98,60,3.56,broken clouds
114,Kapaa,US,22.0752,-159.319,85.98,69,11,5.01,few clouds
115,Hermanus,ZA,-34.4187,19.2345,54.5,64,90,6.53,overcast clouds
116,Katsuura,JP,35.1333,140.3,81.16,77,98,12.95,overcast clouds
117,Kuzino,RU,57.0224,59.4412,53.64,81,42,3.38,scattered clouds
118,Burnie,AU,-41.0667,145.9167,53.02,92,100,5.84,overcast clouds
119,Rabo De Peixe,PT,37.8,-25.5833,72.28,70,20,5.75,few clouds
120,Bilibino,RU,68.0546,166.4372,59.92,39,72,2.01,broken clouds
121,Airai,TL,-8.9266,125.4092,60.37,62,65,2.91,broken clouds
122,Rawson,AR,-43.3002,-65.1023,40.68,94,100,13.94,light rain
123,Dikson,RU,73.5069,80.5464,48.6,77,97,11.52,overcast clouds
124,Bethel,US,41.3712,-73.414,84.04,66,26,5.5,scattered clouds
125,Quelimane,MZ,-17.8786,36.8883,63.93,84,0,2.35,clear sky
126,Wilmington,US,34.2257,-77.9447,82.94,75,0,8.05,clear sky
127,Antalaha,MG,-14.9003,50.2788,68.52,80,67,6.42,light rain
128,Port Elizabeth,ZA,-33.918,25.5701,53.1,89,75,10.36,shower rain
129,Lavrentiya,RU,65.5833,-171.0,41.79,90,100,12.24,overcast clouds
130,Chitrakonda,IN,18.1167,82.0833,72.03,97,100,1.59,light rain
131,Yellowknife,CA,62.456,-114.3525,70.81,36,17,12.84,few clouds
